date,suspect,num_bad_aircraft_hexes,source
2023-11-29,false,384,adsbexchange
2023-11-30,false,387,adsbexchange
2023-12-01,false,421,adsbexchange
2023-12-02,false,403,adsbexchange
2023-12-03,false,400,adsbexchange
2023-12-04,false,396,adsbexchange
2023-12-05,false,397,adsbexchange
2023-12-06,false,378,adsbexchange
2023-12-07,false,400,adsbexchange
2023-12-08,false,378,adsbexchange
2023-12-09,false,373,adsbexchange
2023-12-10,false,382,adsbexchange
2023-12-11,false,379,adsbexchange
2023-12-12,false,358,adsbexchange
2023-12-13,false,365,adsbexchange
2023-12-14,false,390,adsbexchange
2023-12-15,false,335,adsbexchange
2023-12-16,false,394,adsbexchange
2023-12-17,false,413,adsbexchange
2023-12-18,false,365,adsbexchange
2023-12-19,false,364,adsbexchange
2023-12-20,false,392,adsbexchange
2023-12-21,false,369,adsbexchange
2023-12-22,false,358,adsbexchange
2023-12-23,false,329,adsbexchange
2023-12-24,false,341,adsbexchange
2023-12-25,false,476,adsbexchange
2023-12-26,false,542,adsbexchange
2023-12-27,false,386,adsbexchange
2023-12-28,false,403,adsbexchange
2023-12-29,false,439,adsbexchange
2023-12-30,false,434,adsbexchange
2023-12-31,false,433,adsbexchange
2024-01-01,false,383,adsbexchange
2024-01-02,false,385,adsbexchange
2024-01-03,false,395,adsbexchange
2024-01-04,false,419,adsbexchange
2024-01-05,false,420,adsbexchange
2024-01-06,false,410,adsbexchange
2024-01-07,false,420,adsbexchange
2024-01-08,false,434,adsbexchange
2024-01-09,false,403,adsbexchange
2024-01-10,false,495,adsbexchange
2024-01-11,false,399,adsbexchange
2024-01-12,false,368,adsbexchange
2024-01-13,false,398,adsbexchange
2024-01-14,false,390,adsbexchange
2024-01-15,false,344,adsbexchange
2024-01-16,false,467,adsbexchange
2024-01-17,false,400,adsbexchange
2024-01-18,false,387,adsbexchange
2024-01-19,false,502,adsbexchange
2024-01-20,false,382,adsbexchange
2024-01-21,false,369,adsbexchange
2024-01-22,false,338,adsbexchange
2024-01-23,false,339,adsbexchange
2024-01-24,false,382,adsbexchange
2024-01-25,false,307,adsbexchange
2024-01-26,false,342,adsbexchange
2024-01-27,false,373,adsbexchange
2024-01-28,false,319,adsbexchange
2024-01-29,false,338,adsbexchange
2024-01-30,true,247,adsbexchange
2024-01-31,false,363,adsbexchange
2024-02-01,false,427,adsbexchange
2024-02-02,false,532,adsbexchange
2024-02-03,false,375,adsbexchange
2024-02-04,false,388,adsbexchange
2024-02-05,false,370,adsbexchange
2024-02-06,false,382,adsbexchange
2024-02-07,false,359,adsbexchange
2024-02-08,false,347,adsbexchange
2024-02-09,false,377,adsbexchange
2024-02-10,false,466,adsbexchange
2024-02-11,false,405,adsbexchange
2024-02-12,false,359,adsbexchange
2024-02-13,false,390,adsbexchange
2024-02-14,false,581,adsbexchange
2024-02-15,false,380,adsbexchange
2024-02-16,false,369,adsbexchange
2024-02-17,false,353,adsbexchange
2024-02-18,false,360,adsbexchange
2024-02-19,false,364,adsbexchange
2024-02-20,false,356,adsbexchange
2024-02-21,false,332,adsbexchange
2024-02-22,false,417,adsbexchange
2024-02-23,false,378,adsbexchange
2024-02-24,false,378,adsbexchange
2024-02-25,false,408,adsbexchange
2024-02-26,false,367,adsbexchange
2024-02-27,false,410,adsbexchange
2024-02-28,false,411,adsbexchange
2024-02-29,false,442,adsbexchange
2024-03-01,false,565,adsbexchange
2024-03-02,false,613,adsbexchange
2024-03-03,false,504,adsbexchange
2024-03-04,false,421,adsbexchange
2024-03-05,false,437,adsbexchange
2024-03-06,false,392,adsbexchange
2024-03-07,false,398,adsbexchange
2024-03-08,false,433,adsbexchange
2024-03-09,false,427,adsbexchange
2024-03-10,false,424,adsbexchange
2024-03-11,false,419,adsbexchange
2024-03-12,false,385,adsbexchange
2024-03-13,false,662,adsbexchange
2024-03-14,false,415,adsbexchange
2024-03-15,false,568,adsbexchange
2024-03-16,false,594,adsbexchange
2024-03-17,false,419,adsbexchange
2024-03-18,false,470,adsbexchange
2024-03-19,false,439,adsbexchange
2024-03-20,false,400,adsbexchange
2024-03-21,false,392,adsbexchange
2024-03-22,false,431,adsbexchange
2024-03-23,false,611,adsbexchange
